,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
219,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,Eurasian griffon,1460.0,1460.0,,,,,,,,7436.0,,41.4,captivity,large,acceptable,,,,,,Birds,Accipitriformes
220,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,1460.0,1460.0,41.0,,2.0,,,,,6696.5,0.14,42.0,captivity,medium,acceptable,,,,,,Birds,Accipitriformes
221,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,1460.0,1460.0,35.0,,2.0,1.0,,,,3175.0,0.098,48.0,captivity,large,acceptable,,,,,,Birds,Accipitriformes
225,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,365.0,365.0,31.0,,2.0,1.0,,17.0,,266.0,0.16899999999999998,11.2,wild,tiny,acceptable,,,,,,Birds,Accipitriformes
228,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite,1095.0,1095.0,,,,,,,,1000.0,0.179,24.0,unknown,medium,acceptable,,,,,,Birds,Accipitriformes
229,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,1095.0,1095.0,,,,,,,,1080.0,,38.0,captivity,medium,acceptable,,,,,,Birds,Accipitriformes
231,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk,365.0,365.0,34.0,,3.0,2.0,,,,994.26,,25.0,captivity,large,acceptable,,,,,,Birds,Accipitriformes
232,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,Western honey-buzzard,1095.0,1095.0,,,,,,,,758.0,,29.0,wild,medium,acceptable,,,2.36428,652.0,,Birds,Accipitriformes
233,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,1825.0,2555.0,63.0,,1.0,,,,,6500.0,,41.0,captivity,small,acceptable,,,,,,Birds,Accipitriformes
234,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,365.0,365.0,30.0,,3.0,2.0,,29.3,,352.5,,17.0,wild,tiny,acceptable,,,,,,Birds,Accipitriformes
